check_id,check_area,status,market_type,security_code,security_name,observed_value,expected_value,standard_risk,next_action
score-band-<60,distribution,observe,A_SHARE,,,3191,For reviewer inspection; not a fixed quota.,Distribution drift can reveal an over-loose or over-tight triage standard.,Use the distribution to select peer groups; do not impose a fixed candidate quota.
reviewer-challenge-routing-600519,reviewer_challenge_routing,pass,A_SHARE,600519,贵州茅台,queue_rank=1; triage_score=87.02; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-300750,reviewer_challenge_routing,pass,A_SHARE,300750,宁德时代,queue_rank=4; triage_score=77.67; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-601899,reviewer_challenge_routing,pass,A_SHARE,601899,紫金矿业,queue_rank=6; triage_score=70.47; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-002594,reviewer_challenge_routing,pass,A_SHARE,002594,比亚迪,queue_rank=7; triage_score=69.58; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-603259,reviewer_challenge_routing,pass,A_SHARE,603259,药明康德,queue_rank=8; triage_score=68.97; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-688271,reviewer_challenge_routing,pass,A_SHARE,688271,联影医疗,queue_rank=10; triage_score=66.97; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-688617,reviewer_challenge_routing,pass,A_SHARE,688617,惠泰医疗,queue_rank=9; triage_score=68.40; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-601600,reviewer_challenge_routing,pass,A_SHARE,601600,中国铝业,queue_rank=2; triage_score=84.52; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-002428,reviewer_challenge_routing,pass,A_SHARE,002428,云南锗业,queue_rank=5; triage_score=77.05; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-600089,reviewer_challenge_routing,pass,A_SHARE,600089,特变电工,queue_rank=3; triage_score=79.26; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-600036,reviewer_challenge_routing,pass,A_SHARE,600036,招商银行,queue_rank=11; triage_score=66.70; decision=challenged; trigger=triage_score>=65;manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
reviewer-challenge-routing-002176,reviewer_challenge_routing,pass,A_SHARE,002176,江特电机,queue_rank=12; triage_score=51.08; decision=challenged; trigger=manual_challenge,Reviewer-challenged company should enter deep review.,"A familiar company name should test routing only, not define the standard by itself.",Treat as routing-only; use it in calibration only if it belongs to the selected peer group.
