peer_group,security_code,security_name,archetype,triage_score,preliminary_attention,moat_summary,advantage_summary,weakness_summary,market_position_summary,source_backed_evidence,source_quality,reviewer_question,source_urls,reviewed_at_utc
食品饮料-饮料-白酒,600702,舍得酒业,次高端老名酒,67.88,reject_for_now,老名酒和老酒储备叙事有一定品牌资产但近年竞争力受渠道、组织和价格带压力影响明显。护城河需要重新证明。,品牌历史和老酒战略提供差异化故事。若管理和渠道修复成功可能有再评价空间。,次高端价格带内卷、渠道库存和业绩下滑会削弱复利属性。当前不应因老名酒标签给高关注等级。,次高端参与者但并非行业价格锚。当前应作为负面或待修复样本。,行业报告显示次高端价格带竞争最激烈。白酒年报解读把舍得等归入承压群体。,industry_report_needs_primary_pdf,你是否同意舍得暂不关注，直到看到渠道库存和价格体系修复证据？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000799,酒鬼酒,区域兼香差异化酒企,73.83,reject_for_now,馥郁香型和湘西文化有差异化但护城河范围较窄。资金不能复制历史文化但可以通过营销进入相近价格带竞争。,香型独特、品牌辨识度较强。若区域和高端化恢复可重新观察。,业绩波动大、渠道信心和价格体系受损时，差异化香型不足以构成强护城河。,区域和次高端边缘参与者。与核心龙头差距较大。,年报汇总显示酒鬼酒 2025 年净利润同比大幅下滑。行业报告显示中小和区域酒企承压。,annual_summary_plus_industry_report,你是否同意酒鬼酒作为差异化但暂不关注样本？,https://fsc.foodmate.net/show.php?itemid=742696;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600559,老白干酒,河北区域酒企,78.85,reject_for_now,老白干香型和河北根据地有一定区域护城河。但品牌高度和全国扩张确定性不足。,区域知名度和产品香型识别度存在。可以作为区域香型样本。,2025 年营收和净利润大幅下滑。资金进入区域市场和大众价格带竞争相对容易。缺少强价格权。,河北区域酒企。当前更像区域白酒周期样本而非复利样本。,行业财报汇总显示老白干酒 2025 年营收下降 23.07%、净利润下降 45.40%。KPMG/中国酒业协会报告显示库存和价格压力普遍。,annual_summary_plus_industry_report,你是否同意老白干酒先剔除？,https://finance.sina.com.cn/wm/2026-05-07/doc-inhwzvzm2880690.shtml;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000860,顺鑫农业,大众酒加非酒业务,71.18,reject_for_now,牛栏山有大众酒品牌和渠道但公司业务结构并非纯白酒且低价带壁垒较弱。资金和渠道可以更容易复制大众价格带竞争。,大众价格带需求更韧性。牛栏山品牌认知强。,低价白酒利润率和价格权弱。公司有非酒业务干扰。难以符合高护城河复利标准。,大众酒强品牌但不是高端价格锚。应和高端白酒分开评价。,KPMG/中国酒业协会报告称大众市场 50-200 元价位成为增长最快压舱石，但也强调价格竞争和库存压力。顺鑫在存货周转图中靠前。,industry_report_needs_primary_pdf,你是否同意大众酒即使销量大也不自动进入关注，除非证明现金流和价格权强？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603919,金徽酒,甘肃区域酒企,67.87,reject_for_now,西北区域品牌和根据地渠道有局部护城河但市场容量、全国化和价格权有限。,区域市场可见度较高。若甘肃和西北消费升级持续可能有阶段性机会。,护城河区域半径小。白酒行业调整中中小酒企更易被头部降维挤压。,区域酒企。暂不作为标准关注样本。,KPMG/中国酒业协会报告指出中小企业因区域竞争和品牌力不足导致动销疲软。行业汇总显示多数区域白酒承压。,industry_report_needs_primary_pdf,你是否同意金徽酒暂不关注？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://www.thewinetimes.com/deep/10241,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600197,伊力特,新疆区域酒企,72.68,reject_for_now,新疆区域品牌和渠道具有本地优势但全国化与高端价格权不足。,区域根据地较明确。特殊地域消费和旅游场景可能有稳定需求。,市场半径小、品牌全国认知弱。难以证明资金无法复制其竞争优势。,区域酒企。暂不作为关注样本。,KPMG/中国酒业协会报告指出区域企业面对名酒企业降维打击和渠道库存压力。公开年报汇总显示区域白酒普遍承压。,industry_report_needs_primary_pdf,你是否同意伊力特暂不关注？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://fsc.foodmate.net/show.php?itemid=742696,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,002646,天佑德酒,青稞酒区域酒企,73.69,reject_for_now,青稞酒品类差异化和青海区域特色有辨识度。但差异化不等于强市场护城河。,品类特色鲜明。旅游和地方文化可以提供一定消费场景。,规模小、区域半径窄、价格权和全国渠道不足。资金可通过营销复制类似低频特色酒消费。,区域特色酒企。更适合作为负面边界样本。,行业年报汇总覆盖天佑德酒。KPMG/中国酒业协会报告指出消费分化和中小酒企压力。,annual_summary_plus_industry_report,你是否同意特色品类如果不能证明价格权和渠道锁定则不关注？,https://fsc.foodmate.net/show.php?itemid=742696;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600199,金种子酒,安徽区域弱势酒企,71.91,reject_for_now,安徽区域品牌存在但与古井、迎驾、口子窖相比竞争位置弱。仅有品牌历史不足以构成强护城河。,华润资源支持可能改善管理和渠道。存在重组式改善可能。,当前市场地位弱、同省强敌多、行业下行期改善难度高。主题性改善不等于护城河。,安徽区域弱势参与者。应作为同省对照的负面样本。,行业报告显示区域竞争激烈。KPMG/中国酒业协会报告指出头部对区域酒企降维打击。,industry_report_needs_primary_pdf,你是否同意金种子酒不因华润背景进入关注？,https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf;https://fsc.foodmate.net/show.php?itemid=742696,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000995,皇台酒业,西北小型酒企,71.20,reject_for_now,历史品牌和区域特色不足以覆盖规模、经营和竞争弱势。护城河证据弱。,可能存在壳价值或区域恢复故事但不属于本轮质量筛选重点。,规模小、业绩波动和品牌弱势。资金进入或强品牌下沉都可能冲击其市场。,小型区域酒企。作为剔除样本。,行业年报汇总覆盖皇台酒业。KPMG/中国酒业协会报告指出中小企业在周期调整中更脆弱。,annual_summary_plus_industry_report,你是否同意小型区域酒企除非有极强特殊资源或现金流否则剔除？,https://fsc.foodmate.net/show.php?itemid=742696;https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600696,*ST岩石,风险警示白酒企业,60.87,reject_for_now,未看到足够强的品牌、产区、渠道或工艺护城河证据能抵消风险警示。,无明确可依赖优势。即使存在白酒概念也不构成关注价值。,风险警示、经营和治理不确定性高。与本轮寻找真实竞争实力目标不匹配。,应剔除。,行业年报汇总覆盖 *ST 岩石。A 股 triage 显示其仅 borderline 且市场位置弱。,annual_summary_plus_internal_triage,你是否同意 ST 或重大治理风险白酒企业默认剔除，除非有非常强且可核实的资产重估逻辑？,https://fsc.foodmate.net/show.php?itemid=742696;data/processed/a_share_company_triage_reviews.csv,2026-05-14T00:00:00+00:00
