security_code,symbol,exchange,board,listed_company_name,security_name,listing_date,industry,research_status,profile_status,financial_status,profile_retrieved_at_utc,financial_retrieved_at_utc,last_error,next_action
600020,600020.SH,SSE,main_board,河南中原高速公路股份有限公司,中原高速,2003-08-08,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:35:41+00:00,2026-05-14T10:35:41+00:00,,score_dimensions
600021,600021.SH,SSE,main_board,上海电力股份有限公司,上海电力,2003-10-29,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:35:41+00:00,2026-05-14T10:35:41+00:00,,score_dimensions
600022,600022.SH,SSE,main_board,山东钢铁股份有限公司,山东钢铁,2004-06-29,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600023,600023.SH,SSE,main_board,浙江浙能电力股份有限公司,浙能电力,2013-12-19,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600025,600025.SH,SSE,main_board,华能澜沧江水电股份有限公司,华能水电,2017-12-15,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600026,600026.SH,SSE,main_board,中远海运能源运输股份有限公司,中远海能,2002-05-23,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600027,600027.SH,SSE,main_board,华电国际电力股份有限公司,华电国际,2005-02-03,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600028,600028.SH,SSE,main_board,中国石油化工股份有限公司,中国石化,2001-08-08,采矿业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600029,600029.SH,SSE,main_board,中国南方航空股份有限公司,南方航空,2003-07-25,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600030,600030.SH,SSE,main_board,中信证券股份有限公司,中信证券,2003-01-06,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600031,600031.SH,SSE,main_board,三一重工股份有限公司,三一重工,2003-07-03,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600032,600032.SH,SSE,main_board,浙江省新能源投资集团股份有限公司,浙江新能,2021-05-25,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600033,600033.SH,SSE,main_board,福建发展高速公路股份有限公司,福建高速,2001-02-09,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600035,600035.SH,SSE,main_board,湖北楚天智能交通股份有限公司,楚天高速,2004-03-10,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:01+00:00,2026-05-14T10:37:01+00:00,,score_dimensions
600036,600036.SH,SSE,main_board,招商银行股份有限公司,招商银行,2002-04-09,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600037,600037.SH,SSE,main_board,北京歌华有线电视网络股份有限公司,歌华有线,2001-02-08,信息传输、软件和信息技术服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600038,600038.SH,SSE,main_board,中航直升机股份有限公司,中直股份,2000-12-18,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600039,600039.SH,SSE,main_board,四川路桥建设集团股份有限公司,四川路桥,2003-03-25,建筑业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600048,600048.SH,SSE,main_board,保利发展控股集团股份有限公司,保利发展,2006-07-31,房地产业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600050,600050.SH,SSE,main_board,中国联合网络通信股份有限公司,中国联通,2002-10-09,信息传输、软件和信息技术服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:03+00:00,2026-05-14T10:37:03+00:00,,score_dimensions
600051,600051.SH,SSE,main_board,宁波联合集团股份有限公司,宁波联合,1997-04-10,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:04+00:00,2026-05-14T10:37:04+00:00,,score_dimensions
600052,600052.SH,SSE,main_board,浙江东望时代科技股份有限公司,东望时代,1997-04-15,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:04+00:00,2026-05-14T10:37:04+00:00,,score_dimensions
600053,600053.SH,SSE,main_board,昆吾九鼎投资控股股份有限公司,*ST九鼎,1997-04-18,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:04+00:00,2026-05-14T10:37:04+00:00,,score_dimensions
600054,600054.SH,SSE,main_board,黄山旅游发展股份有限公司,黄山旅游,1997-05-06,水利、环境和公共设施管理业,evidence_fetched,fetched,fetched,2026-05-14T10:37:04+00:00,2026-05-14T10:37:04+00:00,,score_dimensions
600055,600055.SH,SSE,main_board,北京万东医疗科技股份有限公司,万东医疗,1997-05-19,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:04+00:00,2026-05-14T10:37:04+00:00,,score_dimensions
600056,600056.SH,SSE,main_board,中国医药健康产业股份有限公司,中国医药,1997-05-15,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:05+00:00,2026-05-14T10:37:05+00:00,,score_dimensions
600057,600057.SH,SSE,main_board,厦门象屿股份有限公司,厦门象屿,1997-06-04,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:05+00:00,2026-05-14T10:37:05+00:00,,score_dimensions
600058,600058.SH,SSE,main_board,五矿发展股份有限公司,五矿发展,1997-05-28,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:05+00:00,2026-05-14T10:37:05+00:00,,score_dimensions
600059,600059.SH,SSE,main_board,浙江古越龙山绍兴酒股份有限公司,古越龙山,1997-05-16,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:06+00:00,2026-05-14T10:37:06+00:00,,score_dimensions
600060,600060.SH,SSE,main_board,海信视像科技股份有限公司,海信视像,1997-04-22,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:06+00:00,2026-05-14T10:37:06+00:00,,score_dimensions
600061,600061.SH,SSE,main_board,国投资本股份有限公司,国投资本,1997-05-19,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:06+00:00,2026-05-14T10:37:06+00:00,,score_dimensions
600062,600062.SH,SSE,main_board,华润双鹤药业股份有限公司,华润双鹤,1997-05-22,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:06+00:00,2026-05-14T10:37:06+00:00,,score_dimensions
600063,600063.SH,SSE,main_board,安徽皖维高新材料股份有限公司,皖维高新,1997-05-28,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:06+00:00,2026-05-14T10:37:06+00:00,,score_dimensions
600064,600064.SH,SSE,main_board,南京高科股份有限公司,南京高科,1997-05-06,房地产业,evidence_fetched,fetched,fetched,2026-05-14T10:37:07+00:00,2026-05-14T10:37:07+00:00,,score_dimensions
600065,600065.SH,SSE,main_board,黑龙江省海国龙油石化股份有限公司,-,1997-05-23,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:07+00:00,2026-05-14T10:37:07+00:00,,score_dimensions
600066,600066.SH,SSE,main_board,宇通客车股份有限公司,宇通客车,1997-05-08,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:07+00:00,2026-05-14T10:37:07+00:00,,score_dimensions
600067,600067.SH,SSE,main_board,冠城大通新材料股份有限公司,冠城新材,1997-05-08,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:08+00:00,2026-05-14T10:37:08+00:00,,score_dimensions
600068,600068.SH,SSE,main_board,中国葛洲坝集团股份有限公司,-,1997-05-26,建筑业,evidence_fetched,fetched,fetched,2026-05-14T10:37:08+00:00,2026-05-14T10:37:08+00:00,,score_dimensions
600069,600069.SH,SSE,main_board,河南银鸽实业投资股份有限公司,-,1997-04-30,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:08+00:00,2026-05-14T10:37:08+00:00,,score_dimensions
600070,600070.SH,SSE,main_board,浙江富润数字科技股份有限公司,-,1997-06-04,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:08+00:00,2026-05-14T10:37:08+00:00,,score_dimensions
600071,600071.SH,SSE,main_board,凤凰光学股份有限公司,凤凰光学,1997-05-28,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:08+00:00,2026-05-14T10:37:08+00:00,,score_dimensions
600072,600072.SH,SSE,main_board,中船科技股份有限公司,中船科技,1997-06-03,建筑业,evidence_fetched,fetched,fetched,2026-05-14T10:37:09+00:00,2026-05-14T10:37:09+00:00,,score_dimensions
600073,600073.SH,SSE,main_board,上海光明肉业集团股份有限公司,光明肉业,1997-07-04,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:09+00:00,2026-05-14T10:37:09+00:00,,score_dimensions
600074,600074.SH,SSE,main_board,江苏保千里视像科技集团股份有限公司,-,1997-06-23,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:09+00:00,2026-05-14T10:37:09+00:00,,score_dimensions
600075,600075.SH,SSE,main_board,新疆天业股份有限公司,新疆天业,1997-06-17,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600076,600076.SH,SSE,main_board,康欣新材料股份有限公司,康欣新材,1997-05-26,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600077,600077.SH,SSE,main_board,宋都基业投资股份有限公司,-,1997-05-20,房地产业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600078,600078.SH,SSE,main_board,江苏澄星磷化工股份有限公司,澄星股份,1997-06-27,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600079,600079.SH,SSE,main_board,人福医药集团股份公司,ST人福,1997-06-06,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600080,600080.SH,SSE,main_board,金花企业(集团)股份有限公司,ST金花,1997-06-12,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:10+00:00,2026-05-14T10:37:10+00:00,,score_dimensions
600081,600081.SH,SSE,main_board,东风电子科技股份有限公司,东风科技,1997-07-03,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:11+00:00,2026-05-14T10:37:11+00:00,,score_dimensions
600082,600082.SH,SSE,main_board,天津海泰科技发展股份有限公司,ST海泰,1997-06-20,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:11+00:00,2026-05-14T10:37:11+00:00,,score_dimensions
600083,600083.SH,SSE,main_board,江苏博信投资控股股份有限公司,-,1997-06-06,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:11+00:00,2026-05-14T10:37:11+00:00,,score_dimensions
600084,600084.SH,SSE,main_board,中信尼雅葡萄酒股份有限公司,*ST尼雅,1997-07-11,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:11+00:00,2026-05-14T10:37:11+00:00,,score_dimensions
600085,600085.SH,SSE,main_board,北京同仁堂股份有限公司,同仁堂,1997-06-25,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:12+00:00,2026-05-14T10:37:12+00:00,,score_dimensions
600086,600086.SH,SSE,main_board,东方金钰股份有限公司,-,1997-06-06,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:12+00:00,2026-05-14T10:37:12+00:00,,score_dimensions
600087,600087.SH,SSE,main_board,招商局南京油运股份有限公司,-,1997-06-12,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:12+00:00,2026-05-14T10:37:12+00:00,,score_dimensions
600088,600088.SH,SSE,main_board,中视传媒股份有限公司,中视传媒,1997-06-16,文化、体育和娱乐业,evidence_fetched,fetched,fetched,2026-05-14T10:37:12+00:00,2026-05-14T10:37:12+00:00,,score_dimensions
600089,600089.SH,SSE,main_board,特变电工股份有限公司,特变电工,1997-06-18,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:12+00:00,2026-05-14T10:37:12+00:00,,score_dimensions
600090,600090.SH,SSE,main_board,新疆同济堂健康产业股份有限公司,-,1997-06-16,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:13+00:00,2026-05-14T10:37:13+00:00,,score_dimensions
600091,600091.SH,SSE,main_board,包头明天科技股份有限公司,-,1997-07-04,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:13+00:00,2026-05-14T10:37:13+00:00,,score_dimensions
600092,600092.SH,SSE,main_board,陕西精密合金股份有限公司,-,1997-06-26,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:13+00:00,2026-05-14T10:37:13+00:00,,score_dimensions
600093,600093.SH,SSE,main_board,易见供应链管理股份有限公司,-,1997-06-26,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600094,600094.SH,SSE,main_board,上海大名城企业股份有限公司,大名城,1997-07-03,房地产业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600095,600095.SH,SSE,main_board,湘财股份有限公司,湘财股份,1997-07-08,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600096,600096.SH,SSE,main_board,云南云天化股份有限公司,云天化,1997-07-09,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600097,600097.SH,SSE,main_board,上海开创国际海洋资源股份有限公司,开创国际,1997-06-19,农、林、牧、渔业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600098,600098.SH,SSE,main_board,广州发展集团股份有限公司,广州发展,1997-07-18,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:14+00:00,2026-05-14T10:37:14+00:00,,score_dimensions
600099,600099.SH,SSE,main_board,林海股份有限公司,林海股份,1997-07-04,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600100,600100.SH,SSE,main_board,同方股份有限公司,同方股份,1997-06-27,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600101,600101.SH,SSE,main_board,四川明星电力股份有限公司,明星电力,1997-06-27,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600102,600102.SH,SSE,main_board,莱芜钢铁股份有限公司,-,1997-08-28,采矿业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600103,600103.SH,SSE,main_board,福建省青山纸业股份有限公司,青山纸业,1997-07-03,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600104,600104.SH,SSE,main_board,上海汽车集团股份有限公司,上汽集团,1997-11-25,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600105,600105.SH,SSE,main_board,江苏永鼎股份有限公司,永鼎股份,1997-09-29,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:15+00:00,2026-05-14T10:37:15+00:00,,score_dimensions
600106,600106.SH,SSE,main_board,重庆路桥股份有限公司,重庆路桥,1997-06-18,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:16+00:00,2026-05-14T10:37:16+00:00,,score_dimensions
600107,600107.SH,SSE,main_board,湖北美尔雅股份有限公司,*ST尔雅,1997-11-06,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:16+00:00,2026-05-14T10:37:16+00:00,,score_dimensions
600108,600108.SH,SSE,main_board,甘肃亚盛实业(集团)股份有限公司,亚盛集团,1997-08-18,农、林、牧、渔业,evidence_fetched,fetched,fetched,2026-05-14T10:37:16+00:00,2026-05-14T10:37:16+00:00,,score_dimensions
600109,600109.SH,SSE,main_board,国金证券股份有限公司,国金证券,1997-08-07,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:16+00:00,2026-05-14T10:37:16+00:00,,score_dimensions
600110,600110.SH,SSE,main_board,诺德新材料股份有限公司,诺德股份,1997-10-07,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600111,600111.SH,SSE,main_board,中国北方稀土(集团)高科技股份有限公司,北方稀土,1997-09-24,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600112,600112.SH,SSE,main_board,贵州长征天成控股股份有限公司,-,1997-11-27,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600113,600113.SH,SSE,main_board,浙江东日股份有限公司,浙江东日,1997-10-21,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600114,600114.SH,SSE,main_board,东睦新材料集团股份有限公司,东睦股份,2004-05-11,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600115,600115.SH,SSE,main_board,中国东方航空股份有限公司,中国东航,1997-11-05,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:17+00:00,2026-05-14T10:37:17+00:00,,score_dimensions
600116,600116.SH,SSE,main_board,重庆三峡水利电力(集团)股份有限公司,三峡水利,1997-08-04,电力、热力、燃气及水生产和供应业,evidence_fetched,fetched,fetched,2026-05-14T10:37:18+00:00,2026-05-14T10:37:18+00:00,,score_dimensions
600117,600117.SH,SSE,main_board,西宁特殊钢股份有限公司,西宁特钢,1997-10-15,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:18+00:00,2026-05-14T10:37:18+00:00,,score_dimensions
600118,600118.SH,SSE,main_board,中国东方红卫星股份有限公司,中国卫星,1997-09-08,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:18+00:00,2026-05-14T10:37:18+00:00,,score_dimensions
600119,600119.SH,SSE,main_board,长发集团长江投资实业股份有限公司,*ST长投,1998-01-15,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:18+00:00,2026-05-14T10:37:18+00:00,,score_dimensions
600120,600120.SH,SSE,main_board,浙江东方控股集团股份有限公司,浙江东方,1997-12-01,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:18+00:00,2026-05-14T10:37:18+00:00,,score_dimensions
600121,600121.SH,SSE,main_board,郑州煤电股份有限公司,郑州煤电,1998-01-07,采矿业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600122,600122.SH,SSE,main_board,江苏宏图高科技股份有限公司,-,1998-04-20,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600123,600123.SH,SSE,main_board,山西兰花科技创业股份有限公司,兰花科创,1998-12-17,采矿业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600125,600125.SH,SSE,main_board,中铁铁龙集装箱物流股份有限公司,铁龙物流,1998-05-11,交通运输、仓储和邮政业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600126,600126.SH,SSE,main_board,杭州钢铁股份有限公司,杭钢股份,1998-03-11,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600127,600127.SH,SSE,main_board,金健米业股份有限公司,金健米业,1998-05-06,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600128,600128.SH,SSE,main_board,苏豪弘业股份有限公司,苏豪弘业,1997-09-01,批发和零售业,evidence_fetched,fetched,fetched,2026-05-14T10:37:19+00:00,2026-05-14T10:37:19+00:00,,score_dimensions
600129,600129.SH,SSE,main_board,重庆太极实业(集团)股份有限公司,太极集团,1997-11-18,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:20+00:00,2026-05-14T10:37:20+00:00,,score_dimensions
600130,600130.SH,SSE,main_board,宁波波导股份有限公司,波导股份,2000-07-06,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:20+00:00,2026-05-14T10:37:20+00:00,,score_dimensions
600131,600131.SH,SSE,main_board,国网信息通信股份有限公司,国网信通,1998-04-02,信息传输、软件和信息技术服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:20+00:00,2026-05-14T10:37:20+00:00,,score_dimensions
600132,600132.SH,SSE,main_board,重庆啤酒股份有限公司,重庆啤酒,1997-10-30,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600133,600133.SH,SSE,main_board,武汉东湖高新集团股份有限公司,东湖高新,1998-02-12,水利、环境和公共设施管理业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600135,600135.SH,SSE,main_board,乐凯胶片股份有限公司,乐凯胶片,1998-01-22,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600136,600136.SH,SSE,main_board,武汉明诚文化体育集团股份有限公司,ST明诚,1998-03-03,文化、体育和娱乐业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600137,600137.SH,SSE,main_board,四川浪莎控股股份有限公司,浪莎股份,1998-04-16,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600138,600138.SH,SSE,main_board,中青旅控股股份有限公司,中青旅,1997-12-03,租赁和商务服务业,evidence_fetched,fetched,fetched,2026-05-14T10:37:21+00:00,2026-05-14T10:37:21+00:00,,score_dimensions
600139,600139.SH,SSE,main_board,四川西部资源控股股份有限公司,-,1998-02-25,金融业,evidence_fetched,fetched,fetched,2026-05-14T10:37:22+00:00,2026-05-14T10:37:22+00:00,,score_dimensions
600141,600141.SH,SSE,main_board,湖北兴发化工集团股份有限公司,兴发集团,1999-06-16,制造业,evidence_fetched,fetched,fetched,2026-05-14T10:37:22+00:00,2026-05-14T10:37:22+00:00,,score_dimensions
