queue_rank,market_type,market_label,company_key,representative_security_code,security_name,listed_company_name,triage_score,triage_decision,deep_review_trigger,challenge_reason,priority,review_status,required_source_standard,next_action,source_scoring_model_version,queued_at_utc
23,A_SHARE,A股,A_SHARE:盛龙股份,001257,盛龙股份,盛龙股份,81.74,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
24,A_SHARE,A股,A_SHARE:广州环投永兴集团股份有限公司,601033,XD永兴股,广州环投永兴集团股份有限公司,81.73,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
25,A_SHARE,A股,A_SHARE:三安光电股份有限公司,600703,三安光电,三安光电股份有限公司,81.59,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
26,A_SHARE,A股,A_SHARE:四川水井坊股份有限公司,600779,水井坊,四川水井坊股份有限公司,81.57,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
27,A_SHARE,A股,A_SHARE:硅宝科技,300019,硅宝科技,硅宝科技,81.55,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
28,A_SHARE,A股,A_SHARE:特锐德,300001,特锐德,特锐德,81.49,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
29,A_SHARE,A股,A_SHARE:安徽口子酒业股份有限公司,603589,口子窖,安徽口子酒业股份有限公司,81.45,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
30,A_SHARE,A股,A_SHARE:威胜信息技术股份有限公司,688100,威胜信息,威胜信息技术股份有限公司,81.36,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
31,A_SHARE,A股,A_SHARE:国电南瑞科技股份有限公司,600406,国电南瑞,国电南瑞科技股份有限公司,81.34,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
32,A_SHARE,A股,A_SHARE:万马股份,002276,万马股份,万马股份,81.27,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
33,A_SHARE,A股,A_SHARE:远光软件,002063,远光软件,远光软件,81.08,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
34,A_SHARE,A股,A_SHARE:东方电子,000682,东方电子,东方电子,81.06,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
35,A_SHARE,A股,A_SHARE:云南省贵金属新材料控股集团股份有限公司,600459,贵研铂业,云南省贵金属新材料控股集团股份有限公司,81.05,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
36,A_SHARE,A股,A_SHARE:彩讯股份,300634,彩讯股份,彩讯股份,80.97,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
37,A_SHARE,A股,A_SHARE:闻泰科技股份有限公司,600745,*ST闻泰,闻泰科技股份有限公司,80.85,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
38,A_SHARE,A股,A_SHARE:雅化集团,002497,雅化集团,雅化集团,80.78,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
39,A_SHARE,A股,A_SHARE:山西杏花村汾酒厂股份有限公司,600809,山西汾酒,山西杏花村汾酒厂股份有限公司,80.71,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
40,A_SHARE,A股,A_SHARE:安宁股份,002978,安宁股份,安宁股份,80.64,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
41,A_SHARE,A股,A_SHARE:南网数字,301638,南网数字,南网数字,80.64,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
42,A_SHARE,A股,A_SHARE:炬华科技,300360,炬华科技,炬华科技,80.63,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
43,A_SHARE,A股,A_SHARE:华荣科技股份有限公司,603855,华荣股份,华荣科技股份有限公司,80.55,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
44,A_SHARE,A股,A_SHARE:湖南白银,002716,湖南白银,湖南白银,80.47,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
45,A_SHARE,A股,A_SHARE:国电南京自动化股份有限公司,600268,国电南自,国电南京自动化股份有限公司,80.46,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
46,A_SHARE,A股,A_SHARE:连城数控,920368,连城数控,连城数控,80.23,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
47,A_SHARE,A股,A_SHARE:特发服务,300917,特发服务,特发服务,80.11,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
48,A_SHARE,A股,A_SHARE:上海先导基电科技股份有限公司,600641,先导基电,上海先导基电科技股份有限公司,80.05,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
49,A_SHARE,A股,A_SHARE:麦克奥迪,300341,麦克奥迪,麦克奥迪,79.81,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
50,A_SHARE,A股,A_SHARE:科华数据,002335,科华数据,科华数据,79.77,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
51,A_SHARE,A股,A_SHARE:中国电力建设股份有限公司,601669,中国电建,中国电力建设股份有限公司,79.76,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
52,A_SHARE,A股,A_SHARE:云南铜业,000878,云南铜业,云南铜业,79.71,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
53,A_SHARE,A股,A_SHARE:东方钽业,000962,东方钽业,东方钽业,79.48,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
54,A_SHARE,A股,A_SHARE:润建股份,002929,润建股份,润建股份,79.45,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
55,A_SHARE,A股,A_SHARE:大连电瓷,002606,大连电瓷,大连电瓷,79.40,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
56,A_SHARE,A股,A_SHARE:申菱环境,301018,申菱环境,申菱环境,79.37,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
57,A_SHARE,A股,A_SHARE:江苏亨通光电股份有限公司,600487,亨通光电,江苏亨通光电股份有限公司,79.36,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
58,A_SHARE,A股,A_SHARE:东华软件,002065,东华软件,东华软件,79.32,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
59,A_SHARE,A股,A_SHARE:陕西能源,001286,陕西能源,陕西能源,79.29,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
60,A_SHARE,A股,A_SHARE:广西华锡有色金属股份有限公司,600301,华锡有色,广西华锡有色金属股份有限公司,79.22,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
61,A_SHARE,A股,A_SHARE:泸州老窖,000568,泸州老窖,泸州老窖,79.14,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
62,A_SHARE,A股,A_SHARE:恒邦股份,002237,恒邦股份,恒邦股份,79.00,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
63,A_SHARE,A股,A_SHARE:惠同新材,920751,惠同新材,惠同新材,78.97,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
64,A_SHARE,A股,A_SHARE:南方电网电力科技股份有限公司,688248,南网科技,南方电网电力科技股份有限公司,78.92,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
65,A_SHARE,A股,A_SHARE:河北衡水老白干酒业股份有限公司,600559,老白干酒,河北衡水老白干酒业股份有限公司,78.85,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
66,A_SHARE,A股,A_SHARE:长高电新,002452,长高电新,长高电新,78.81,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
67,A_SHARE,A股,A_SHARE:天赐材料,002709,天赐材料,天赐材料,78.79,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
68,A_SHARE,A股,A_SHARE:上能电气,300827,上能电气,上能电气,78.79,advance_to_deep_review,triage_score>=65,,1,pending,"Use company periodic reports, exchange announcements, regulator disclosures, official IR materials, reputable institution reports, or professional research reports; aggregator profiles are discovery hints only.",Collect authoritative sources and complete a deep company review with common and special dimensions.,full_coverage_dimensional_v0.4,2026-05-14T18:03:32+00:00
